room_id,room_name,capacity,has_ac,has_private_bath,has_balcony,has_kitchen,has_laundry,has_wifi,has_parking
1,Room_1,2,1,0,1,1,1,0,0
2,Room_2,3,0,0,0,1,1,0,1
3,Room_3,2,0,1,0,1,1,1,1
4,Room_4,2,1,1,1,0,0,1,0
5,Room_5,2,1,0,1,0,0,0,1
6,Room_6,3,0,0,1,0,1,1,1
7,Room_7,3,0,0,1,0,1,0,0
8,Room_8,2,1,1,0,1,0,1,1
9,Room_9,1,0,0,0,1,0,1,1
10,Room_10,3,1,1,1,1,0,1,1
11,Room_11,2,0,0,0,1,0,0,1
12,Room_12,3,0,1,0,1,1,0,1
13,Room_13,2,0,0,0,1,0,0,1
14,Room_14,1,0,1,0,0,0,0,1
15,Room_15,3,1,1,1,0,1,0,0
16,Room_16,2,0,1,1,1,0,0,1
17,Room_17,2,1,0,0,1,1,1,1
18,Room_18,2,1,0,0,0,0,0,1
19,Room_19,1,1,1,1,1,1,0,0
20,Room_20,3,0,1,0,0,1,0,1
21,Room_21,3,1,1,0,1,1,1,0
22,Room_22,4,1,0,1,0,0,1,1
23,Room_23,2,1,1,0,0,0,0,1
24,Room_24,4,1,1,0,1,1,1,0
25,Room_25,2,0,1,1,1,1,0,1
26,Room_26,3,1,0,1,0,0,0,1
27,Room_27,1,0,1,0,0,1,1,1
28,Room_28,3,0,1,0,0,0,0,0
29,Room_29,2,1,1,1,0,0,0,0
30,Room_30,2,1,1,0,0,1,1,0
31,Room_31,1,1,0,1,1,1,0,1
32,Room_32,2,1,0,0,1,0,0,1
33,Room_33,2,1,1,0,1,1,0,0
34,Room_34,3,1,0,1,1,0,1,0
35,Room_35,4,1,1,0,0,0,1,1
36,Room_36,4,0,0,0,1,1,0,1
37,Room_37,4,0,0,1,0,1,0,0
38,Room_38,2,1,1,1,0,0,0,1
39,Room_39,2,1,0,1,1,1,0,0
40,Room_40,2,1,1,0,1,0,0,0
41,Room_41,4,0,1,1,0,0,1,0
42,Room_42,2,1,0,0,1,0,0,0
43,Room_43,3,0,0,0,1,1,0,0
44,Room_44,3,1,1,0,1,1,0,0
45,Room_45,3,1,1,0,0,0,1,0
46,Room_46,2,1,0,0,0,1,0,0
47,Room_47,3,1,1,0,1,1,1,1
48,Room_48,2,1,0,0,0,1,1,1
49,Room_49,2,0,0,1,1,0,1,1
