student_id,name,sleep,clean,noise,roommate_count,wants_ac,wants_private_bath,wants_balcony,wants_kitchen,wants_laundry,wants_wifi,wants_parking
1,Student_1,4,2,2,2,0,0,0,0,1,0,0
2,Student_2,5,4,1,4,0,0,1,0,1,0,1
3,Student_3,3,5,1,2,0,1,1,1,1,0,1
4,Student_4,5,4,1,4,1,1,1,0,1,0,0
5,Student_5,5,4,3,2,1,1,0,0,0,0,0
6,Student_6,2,5,5,4,1,1,0,1,0,0,1
7,Student_7,3,4,5,2,0,1,0,0,1,1,0
8,Student_8,3,5,4,4,0,0,1,1,1,0,1
9,Student_9,3,5,1,1,0,1,0,0,0,1,1
10,Student_10,5,5,3,1,0,1,1,0,1,1,0
11,Student_11,4,2,2,4,1,1,1,1,1,0,1
12,Student_12,3,3,2,2,0,1,0,0,1,0,1
13,Student_13,5,2,4,3,1,0,0,1,0,0,1
14,Student_14,2,5,4,3,0,1,0,1,0,1,0
15,Student_15,4,3,1,3,1,1,1,0,0,0,0
16,Student_16,2,3,1,3,0,0,0,1,1,0,0
17,Student_17,4,5,2,4,1,1,1,1,0,1,0
18,Student_18,5,3,2,1,1,0,0,1,1,0,1
19,Student_19,1,3,2,1,0,0,1,0,0,0,0
20,Student_20,4,2,2,3,1,1,0,1,0,1,0
21,Student_21,2,3,5,1,0,1,1,0,0,1,0
22,Student_22,5,5,1,4,1,0,0,1,0,0,0
23,Student_23,4,1,1,3,0,0,1,1,0,0,0
24,Student_24,1,1,2,4,0,1,0,1,1,0,1
25,Student_25,1,1,3,4,0,1,0,1,1,1,0
26,Student_26,3,5,2,2,1,0,0,1,1,1,0
27,Student_27,3,1,4,4,1,1,0,1,1,1,0
28,Student_28,2,2,3,2,0,0,1,0,1,0,0
29,Student_29,4,5,4,3,1,1,0,0,0,1,1
30,Student_30,4,5,3,4,0,1,1,0,0,0,0
31,Student_31,3,5,4,1,1,0,0,1,1,1,1
32,Student_32,4,3,2,3,0,0,0,0,1,0,0
33,Student_33,4,3,2,4,0,1,0,1,1,1,1
34,Student_34,1,3,3,4,0,0,0,0,1,0,0
35,Student_35,3,4,4,1,0,1,1,1,0,1,1
36,Student_36,5,2,5,2,0,1,1,0,0,0,1
37,Student_37,3,5,3,4,1,0,0,0,1,1,0
38,Student_38,5,5,3,4,1,1,1,0,1,0,1
39,Student_39,1,3,1,1,1,1,1,0,0,1,1
40,Student_40,2,5,3,3,1,0,0,1,0,1,0
41,Student_41,4,5,5,4,0,0,0,1,1,0,1
42,Student_42,1,1,2,2,0,0,1,1,0,0,0
43,Student_43,4,5,4,2,0,1,1,0,1,1,1
44,Student_44,2,4,1,1,1,0,0,1,0,1,0
45,Student_45,2,3,4,2,0,1,0,1,1,0,1
46,Student_46,1,2,2,4,1,0,0,0,0,1,1
47,Student_47,2,2,3,2,1,1,0,0,1,1,1
48,Student_48,5,1,5,4,1,1,0,0,0,0,1
49,Student_49,2,2,1,1,0,0,0,0,1,1,1
50,Student_50,4,2,5,2,1,1,0,1,0,0,0
51,Student_51,4,3,5,4,1,1,0,0,0,0,0
52,Student_52,4,3,5,3,1,0,0,1,1,0,1
53,Student_53,4,4,5,4,1,1,0,0,1,1,1
54,Student_54,5,1,2,4,1,1,1,0,1,1,1
55,Student_55,3,2,5,1,0,1,1,0,0,1,1
56,Student_56,1,4,5,4,1,1,1,0,0,1,1
57,Student_57,4,1,2,1,1,1,0,1,1,0,1
58,Student_58,2,2,4,4,1,1,1,0,1,0,1
59,Student_59,4,2,2,4,0,0,0,0,1,1,0
60,Student_60,2,3,3,4,1,0,0,1,0,0,1
61,Student_61,2,5,2,1,0,0,0,0,1,1,1
62,Student_62,4,1,4,4,1,1,1,1,1,1,0
63,Student_63,5,2,3,1,0,0,0,1,0,0,0
64,Student_64,2,1,3,3,0,0,0,1,1,1,0
65,Student_65,2,4,1,1,0,1,1,0,0,0,0
66,Student_66,4,4,5,3,1,0,0,1,0,0,1
